"","var_name","file_name","sensor_X","sensor_Y","lon_X","lat_X","lon_Y","lat_Y","dist","dist_limit","dateTime_X","dateTime_Y","diff_time","diff_time_limit","n","Slope","Slope_log","Bias","Error","RMSE","MSA","MAPE"
"19","RHOW","TRIOS_vs_S3B_vs_20240814T082814_RHOW.csv","TRIOS","S3B",15.474447,37.565813,15.476193,37.574772,1.01,10,2024-08-14 06:28:14,2024-08-14 06:56:14,28,120,5,1.07,0.7,21.25,21.25,0.005799,0.005672,39.79
"20","RHOW","TRIOS_vs_S3B_vs_20240814T084357_RHOW.csv","TRIOS","S3B",15.492497,37.586528,15.486967,37.599858,1.56,10,2024-08-14 06:43:57,2024-08-14 06:56:14,12,120,5,1.04,0.71,18.27,18.27,0.005081,0.00499,35.56
"21","RHOW","TRIOS_vs_S3B_vs_20240814T101309_RHOW.csv","TRIOS","S3B",15.48502,37.581365,15.478984,37.587673,0.88,10,2024-08-14 08:13:09,2024-08-14 06:56:14,77,120,5,0.93,0.61,9.06,9.06,0.003642,0.003278,37.91
"22","RHOW","TRIOS_vs_S3B_vs_20240814T102320_RHOW.csv","TRIOS","S3B",15.481237,37.578267,15.477867,37.582513,0.56,10,2024-08-14 08:23:20,2024-08-14 06:56:14,87,120,5,0.91,0.61,7.06,7.06,0.003299,0.002814,34.99
"23","RHOW","TRIOS_vs_S3B_vs_20240814T102828_RHOW.csv","TRIOS","S3B",15.479555,37.576855,15.477867,37.582513,0.65,10,2024-08-14 08:28:28,2024-08-14 06:56:14,92,120,5,0.91,0.6,7.04,7.04,0.003328,0.002824,36.36
"24","RHOW","TRIOS_vs_S3B_vs_20240814T103829_RHOW.csv","TRIOS","S3B",15.476803,37.575142,15.472134,37.580646,0.74,10,2024-08-14 08:38:29,2024-08-14 06:56:14,102,120,5,0.91,0.59,8.82,8.82,0.003766,0.003349,40
"25","RHOW","HYPERPRO_vs_S3A_vs_20240809T084500_RHOW.csv","HYPERPRO","S3A",22.4034,36.0082,22.395764,36.019598,1.44,40,2024-08-09 06:45:00,2024-08-09 06:23:56,21,240,5,0.95,0.6,14.91,14.91,0.005096,0.004899,43.31
"26","RHOW","HYPERPRO_vs_S3A_vs_20240811T094700_RHOW.csv","HYPERPRO","S3A",16.4892,36.0321,16.585811,36.056883,9.12,40,2024-08-11 07:47:00,2024-08-11 07:12:33,34,240,5,0.88,0.59,5.39,5.39,0.003236,0.002547,31.85
"27","RHOW","HYPERPRO_vs_S3A_vs_20240815T100000_RHOW.csv","HYPERPRO","S3A",15.3814,38.5357,15.382093,38.543367,0.86,40,2024-08-15 08:00:00,2024-08-15 07:08:48,51,240,5,0.64,0.52,-5.58,11.56,0.003344,0.002864,27.52
"28","RHOW","HYPERPRO_vs_S3B_vs_20240813T094900_RHOW.csv","HYPERPRO","S3B",15.6445,36.8538,15.582316,36.942788,11.35,40,2024-08-13 07:49:00,2024-08-13 07:22:25,27,240,5,0.93,0.57,14.72,14.72,0.005081,0.004752,45.18
"29","RHOW","HYPERPRO_vs_S3B_vs_20240814T101100_RHOW.csv","HYPERPRO","S3B",15.4855,37.5818,15.472134,37.580646,1.19,40,2024-08-14 08:11:00,2024-08-14 06:56:14,75,240,5,0.89,0.62,4.9,4.9,0.002948,0.002309,29.24
