var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dateTime_X,dateTime_Y,diff_time,n,Slope,RMSE,MAPE,Bias,Error
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T111500_RHOW.csv,Hyp,VIIRS_N,15.129567,36.56835,15.156082,36.565414,2.39,2024-08-12T09:15:00Z,2024-08-12T10:06:00Z,51,5,1.17,0.0026,17.8,6.7,12.8
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T111500_RHOW.csv,VIIRS_N,Hyp,15.156082,36.565414,15.129567,36.56835,2.39,2024-08-12T10:06:00Z,2024-08-12T09:15:00Z,51,5,0.85,0.0026,26.5,-6.7,12.8
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T113400_RHOW.csv,Hyp,VIIRS_N,15.132283,36.584083,15.156877,36.571785,2.59,2024-08-12T09:34:00Z,2024-08-12T10:06:00Z,32,5,1.16,0.0027,15.7,9.2,14.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T113400_RHOW.csv,VIIRS_N,Hyp,15.156877,36.571785,15.132283,36.584083,2.59,2024-08-12T10:06:00Z,2024-08-12T09:34:00Z,32,5,0.86,0.0027,17.4,-9.2,14.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T113700_RHOW.csv,Hyp,VIIRS_N,15.134183,36.588333,15.155534,36.578888,2.18,2024-08-12T09:37:00Z,2024-08-12T10:06:00Z,29,5,1.17,0.0027,17.4,5.9,13.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T113700_RHOW.csv,VIIRS_N,Hyp,15.155534,36.578888,15.134183,36.588333,2.18,2024-08-12T10:06:00Z,2024-08-12T09:37:00Z,29,5,0.85,0.0027,23.7,-5.9,13.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T114500_RHOW.csv,Hyp,VIIRS_N,15.140083,36.601033,15.164155,36.587208,2.65,2024-08-12T09:45:00Z,2024-08-12T10:06:00Z,21,5,1.29,0.0043,23.4,10.7,22.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T114500_RHOW.csv,VIIRS_N,Hyp,15.164155,36.587208,15.140083,36.601033,2.65,2024-08-12T10:06:00Z,2024-08-12T09:45:00Z,21,5,0.77,0.0043,28.6,-10.7,22.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T120000_RHOW.csv,Hyp,VIIRS_N,15.1553,36.6225,15.180089,36.610973,2.56,2024-08-12T10:00:00Z,2024-08-12T10:06:00Z,6,5,1.12,0.0017,17.4,1.6,7.3
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240812T120000_RHOW.csv,VIIRS_N,Hyp,15.180089,36.610973,15.1553,36.6225,2.56,2024-08-12T10:06:00Z,2024-08-12T10:00:00Z,6,5,0.89,0.0017,36,-1.6,7.3
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T100100_RHOW.csv,Hyp,VIIRS_N,15.6452,36.854717,15.664104,36.846432,1.92,2024-08-13T08:01:00Z,2024-08-13T09:48:00Z,107,5,1.32,0.0075,117.9,39.5,39.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T100100_RHOW.csv,VIIRS_N,Hyp,15.664104,36.846432,15.6452,36.854717,1.92,2024-08-13T09:48:00Z,2024-08-13T08:01:00Z,107,5,0.76,0.0075,41.9,-39.5,39.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T102100_RHOW.csv,Hyp,VIIRS_N,15.64745,36.85755,15.664104,36.846432,1.93,2024-08-13T08:21:00Z,2024-08-13T09:48:00Z,87,5,1.43,0.0089,112.3,51.7,51.7
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T102100_RHOW.csv,VIIRS_N,Hyp,15.664104,36.846432,15.64745,36.85755,1.93,2024-08-13T09:48:00Z,2024-08-13T08:21:00Z,87,5,0.7,0.0089,45.1,-51.7,51.7
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T111100_RHOW.csv,Hyp,VIIRS_N,15.598983,36.922133,15.109642,40.163563,363.34,2024-08-13T09:11:00Z,2024-08-13T09:54:01Z,43,5,0.71,0.0061,53.8,-14.1,29.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T111100_RHOW.csv,VIIRS_N,Hyp,15.109642,40.163563,15.598983,36.922133,363.34,2024-08-13T09:54:01Z,2024-08-13T09:11:00Z,43,5,1.23,0.0061,66.9,14.1,29.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T132000_RHOW.csv,Hyp,VIIRS_N,15.405917,37.1284,14.95743,40.139915,337.5,2024-08-13T11:20:00Z,2024-08-13T09:54:01Z,86,5,1.04,8e-4,12.8,1.6,4.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T132000_RHOW.csv,VIIRS_N,Hyp,14.95743,40.139915,15.405917,37.1284,337.5,2024-08-13T09:54:01Z,2024-08-13T11:20:00Z,86,5,0.96,8e-4,21.8,-1.6,4.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T133000_RHOW.csv,Hyp,VIIRS_N,15.3928,37.143117,14.939523,40.137119,335.61,2024-08-13T11:30:00Z,2024-08-13T09:54:01Z,96,5,0.95,0.0028,26,-13.5,13.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T133000_RHOW.csv,VIIRS_N,Hyp,14.939523,40.137119,15.3928,37.143117,335.61,2024-08-13T09:54:01Z,2024-08-13T11:30:00Z,96,5,1.05,0.0028,76.5,13.5,13.5
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T134000_RHOW.csv,Hyp,VIIRS_N,15.378417,37.15705,14.930568,40.135719,333.86,2024-08-13T11:40:00Z,2024-08-13T09:54:01Z,106,5,1.01,0.0037,31.4,-20.7,20.7
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T134000_RHOW.csv,VIIRS_N,Hyp,14.930568,40.135719,15.378417,37.15705,333.86,2024-08-13T09:54:01Z,2024-08-13T11:40:00Z,106,5,0.98,0.0037,138.8,20.7,20.7
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T135100_RHOW.csv,Hyp,VIIRS_N,15.363683,37.170783,14.921616,40.134319,332.13,2024-08-13T11:51:00Z,2024-08-13T09:54:01Z,117,5,0.96,0.0016,16.5,-8.6,8.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240813T135100_RHOW.csv,VIIRS_N,Hyp,14.921616,40.134319,15.363683,37.170783,332.13,2024-08-13T09:54:01Z,2024-08-13T11:51:00Z,117,5,1.04,0.0016,30.6,8.6,8.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T095000_RHOW.csv,Hyp,VIIRS_N,15.494167,37.589867,15.521461,37.575153,2.91,2024-08-14T07:50:00Z,2024-08-14T09:30:01Z,100,5,1.02,7e-4,16.1,-6.7,6.7
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T095000_RHOW.csv,VIIRS_N,Hyp,15.521461,37.575153,15.494167,37.589867,2.91,2024-08-14T09:30:01Z,2024-08-14T07:50:00Z,100,5,0.98,7e-4,38.9,6.7,6.7
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T100000_RHOW.csv,Hyp,VIIRS_N,15.49075,37.586283,15.521461,37.575153,2.98,2024-08-14T08:00:00Z,2024-08-14T09:30:01Z,90,5,0.99,0.0011,17.2,-9.9,9.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T100000_RHOW.csv,VIIRS_N,Hyp,15.521461,37.575153,15.49075,37.586283,2.98,2024-08-14T09:30:01Z,2024-08-14T08:00:00Z,90,5,1.01,0.0011,35.1,9.9,9.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T101100_RHOW.csv,Hyp,VIIRS_N,15.4845,37.581,15.509743,37.572762,2.41,2024-08-14T08:11:00Z,2024-08-14T09:30:01Z,79,5,1.01,7e-4,15.3,-7.2,7.2
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T101100_RHOW.csv,VIIRS_N,Hyp,15.509743,37.572762,15.4845,37.581,2.41,2024-08-14T09:30:01Z,2024-08-14T08:11:00Z,79,5,0.99,7e-4,32.5,7.2,7.2
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T102100_RHOW.csv,Hyp,VIIRS_N,15.48055,37.577767,15.507367,37.566277,2.69,2024-08-14T08:21:00Z,2024-08-14T09:30:01Z,69,5,0.98,0.001,16.2,-8.4,8.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T102100_RHOW.csv,VIIRS_N,Hyp,15.507367,37.566277,15.48055,37.577767,2.69,2024-08-14T09:30:01Z,2024-08-14T08:21:00Z,69,5,1.02,0.001,32.2,8.4,8.4
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T103000_RHOW.csv,Hyp,VIIRS_N,15.48055,37.577767,15.507367,37.566277,2.69,2024-08-14T08:30:00Z,2024-08-14T09:30:01Z,60,5,0.98,0.001,17.8,-8.1,8.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T103000_RHOW.csv,VIIRS_N,Hyp,15.507367,37.566277,15.48055,37.577767,2.69,2024-08-14T09:30:01Z,2024-08-14T08:30:00Z,60,5,1.02,0.001,42.1,8.1,8.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T104000_RHOW.csv,Hyp,VIIRS_N,15.47625,37.574817,15.507367,37.566277,2.91,2024-08-14T08:40:00Z,2024-08-14T09:30:01Z,50,5,1.05,0.001,22.8,-6.6,6.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T104000_RHOW.csv,VIIRS_N,Hyp,15.507367,37.566277,15.47625,37.574817,2.91,2024-08-14T09:30:01Z,2024-08-14T08:40:00Z,50,5,0.95,0.001,120.2,6.6,6.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T114100_RHOW.csv,Hyp,VIIRS_N,15.5009,37.688733,15.532566,37.697411,2.95,2024-08-14T09:41:00Z,2024-08-14T09:30:01Z,11,5,0.9,0.0051,39,-28.9,28.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T114100_RHOW.csv,VIIRS_N,Hyp,15.532566,37.697411,15.5009,37.688733,2.95,2024-08-14T09:30:01Z,2024-08-14T09:41:00Z,11,5,1.11,0.0051,178.9,28.9,28.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T115100_RHOW.csv,Hyp,VIIRS_N,15.507083,37.710817,15.534787,37.703674,2.57,2024-08-14T09:51:00Z,2024-08-14T09:30:01Z,21,5,0.89,0.0058,41.2,-29.9,29.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T115100_RHOW.csv,VIIRS_N,Hyp,15.534787,37.703674,15.507083,37.710817,2.57,2024-08-14T09:30:01Z,2024-08-14T09:51:00Z,21,5,1.12,0.0058,211.9,29.9,29.9
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T123100_RHOW.csv,Hyp,VIIRS_N,15.527933,37.790367,15.559991,37.780544,3.02,2024-08-14T10:31:00Z,2024-08-14T09:30:01Z,61,5,0.83,0.007,45.7,-39.8,39.8
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240814T123100_RHOW.csv,VIIRS_N,Hyp,15.559991,37.780544,15.527933,37.790367,3.02,2024-08-14T09:30:01Z,2024-08-14T10:31:00Z,61,5,1.2,0.007,282.2,39.8,39.8
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T091000_RHOW.csv,Hyp,VIIRS_N,15.38855,38.539567,15.412045,38.525757,2.56,2024-08-15T07:10:00Z,2024-08-15T09:12:00Z,122,5,0.94,9e-4,26.2,-2.3,5.2
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T091000_RHOW.csv,VIIRS_N,Hyp,15.412045,38.525757,15.38855,38.539567,2.56,2024-08-15T09:12:00Z,2024-08-15T07:10:00Z,122,5,1.06,9e-4,13.8,2.3,5.2
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T092000_RHOW.csv,Hyp,VIIRS_N,15.3877,38.539233,15.413944,38.535664,2.32,2024-08-15T07:20:00Z,2024-08-15T09:12:00Z,112,5,0.96,0.0018,26.8,-14.6,14.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T092000_RHOW.csv,VIIRS_N,Hyp,15.413944,38.535664,15.3877,38.539233,2.32,2024-08-15T09:12:00Z,2024-08-15T07:20:00Z,112,5,1.04,0.0018,115.3,14.6,14.6
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T094500_RHOW.csv,Hyp,VIIRS_N,15.3838,38.53715,15.413944,38.535664,2.63,2024-08-15T07:45:00Z,2024-08-15T09:12:00Z,87,5,0.97,7e-4,15.6,-5.1,5.1
