var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,S3A,HYPERPRO,3,3,3,3,673,-3.57,-2.68,83.57,83.57,2.54e-4,2.29e-4,69.84
RHOW,HYPERPRO,S3A,3,3,3,3,681,-0.16,-0.21,-47.83,47.83,1.7e-4,1.43e-4,29.04
RHOW,S3A,HYPERPRO,3,3,3,3,681,-1.12,-0.86,47.83,47.83,1.7e-4,1.43e-4,48.32
RHOW,HYPERPRO,S3B,2,2,2,2,400,-3.31,-2.73,20.64,20.64,0.010943,0.007852,22.64
RHOW,S3B,HYPERPRO,2,2,2,2,400,-0.3,-0.37,-20.64,20.64,0.010943,0.007852,15.74
RHOW,HYPERPRO,S3B,2,2,2,2,412,-3.38,-2.85,18.16,19.42,0.00979,0.007115,21.09
RHOW,S3B,HYPERPRO,2,2,2,2,412,-0.3,-0.35,-18.16,19.42,0.00979,0.007115,15.1
RHOW,HYPERPRO,S3B,2,2,2,2,442,-4.26,-3.62,17.26,18.59,0.008109,0.005908,20.08
RHOW,S3B,HYPERPRO,2,2,2,2,442,-0.23,-0.28,-17.26,18.59,0.008109,0.005908,14.61
RHOW,HYPERPRO,S3B,2,2,2,2,490,-10.76,-8.94,19.69,23.7,0.006508,0.004914,25.64
RHOW,S3B,HYPERPRO,2,2,2,2,490,-0.09,-0.11,-19.69,23.7,0.006508,0.004914,17.9
RHOW,HYPERPRO,S3B,2,2,2,2,510,-27.66,-22.16,22.65,40.71,0.005743,0.004722,42.71
RHOW,S3B,HYPERPRO,2,2,2,2,510,-0.04,-0.05,-22.65,40.71,0.005743,0.004722,28.39
RHOW,HYPERPRO,S3B,2,2,2,2,560,-38.82,-25.81,43.42,74.79,0.004765,0.003759,84.31
RHOW,S3B,HYPERPRO,2,2,2,2,560,-0.03,-0.04,-43.42,74.79,0.004765,0.003759,40.99
RHOW,HYPERPRO,S3B,2,2,2,2,620,NA,NA,68.61,264.93,0.003453,0.002682,284.55
RHOW,S3B,HYPERPRO,2,2,2,2,620,-0,-0,-68.61,264.93,0.003453,0.002682,100.09
RHOW,HYPERPRO,S3B,2,2,2,2,665,-28.96,-15.7,-2.01,807.4,0.002722,0.002185,439.34
RHOW,S3B,HYPERPRO,2,2,2,2,665,-0.03,-0.06,2.01,807.4,0.002722,0.002185,457.21
RHOW,HYPERPRO,S3B,2,2,2,2,673,-39.74,-12.54,101.61,546.12,0.002679,0.002031,635.71
RHOW,S3B,HYPERPRO,2,2,2,2,673,-0.03,-0.08,-101.61,546.12,0.002679,0.002031,156.41
RHOW,HYPERPRO,S3B,2,2,2,2,681,NA,NA,60.97,674.59,0.002554,0.001926,613.05
RHOW,S3B,HYPERPRO,2,2,2,2,681,-0,0,-60.97,674.59,0.002554,0.001926,236.59
RHOW,HYPERNETS,S3_all,10,10,10,10,400,0.15,0.32,6.97,7.83,0.009243,0.005886,20.97
RHOW,S3_all,HYPERNETS,10,10,10,10,400,0.07,0.2,-6.97,7.83,0.009243,0.005886,14.23
