var_name,n_clean,n_no_out,n_w_nm,sensor_X,sensor_Y,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,38,34,34,TRIOS,PACE_V30,510,0.46,0.57,-10.69,10.69,0.002396,0.001804,16.45
RHOW,38,34,34,PACE_V30,TRIOS,510,0.08,0.06,10.69,10.69,0.002396,0.001804,23.42
RHOW,38,34,34,TRIOS,PACE_V30,560,-0.04,-0.05,-14.12,19.08,0.001241,9.72e-4,21.64
RHOW,38,34,34,PACE_V30,TRIOS,560,-0.02,-0.01,14.12,19.08,0.001241,9.72e-4,31.84
RHOW,37,37,37,TRIOS,PACE_V31,412,0.76,0.61,12.79,15.76,0.00535,0.005039,16.09
RHOW,37,37,37,PACE_V31,TRIOS,412,0.61,0.67,-12.79,15.76,0.00535,0.005039,14.76
RHOW,37,37,37,TRIOS,PACE_V31,443,0.76,0.66,7.39,11.1,0.003565,0.003257,11.51
RHOW,37,37,37,PACE_V31,TRIOS,443,0.59,0.62,-7.39,11.1,0.003565,0.003257,11.11
RHOW,37,37,37,TRIOS,PACE_V31,490,0.58,0.51,7.01,11.18,0.002342,0.002039,10.47
RHOW,37,37,37,PACE_V31,TRIOS,490,0.2,0.19,-7.01,11.18,0.002342,0.002039,10.15
RHOW,37,37,37,TRIOS,PACE_V31,510,-0.08,-0.09,7.35,13.75,0.001815,0.001523,14.04
RHOW,37,37,37,PACE_V31,TRIOS,510,-0.02,-0.02,-7.35,13.75,0.001815,0.001523,14.3
RHOW,37,37,37,TRIOS,PACE_V31,560,-0.29,-0.28,14.42,25.49,0.001236,0.001043,24.53
RHOW,37,37,37,PACE_V31,TRIOS,560,-0.13,-0.12,-14.42,25.49,0.001236,0.001043,22.23
RHOW,5,5,5,HYPERPRO,PACE_V2,412,0.37,0.38,1.85,4.4,0.005036,0.003351,9.55
RHOW,5,5,5,PACE_V2,HYPERPRO,412,0.35,0.37,-1.85,4.4,0.005036,0.003351,12.04
RHOW,5,5,5,HYPERPRO,PACE_V2,443,0.44,0.44,3.08,4.37,0.003172,0.002303,7.62
RHOW,5,5,5,PACE_V2,HYPERPRO,443,0.4,0.43,-3.08,4.37,0.003172,0.002303,8.7
RHOW,5,5,5,HYPERPRO,PACE_V2,490,-0.38,-0.38,1.72,9.28,0.001857,0.001502,7.68
RHOW,5,5,5,PACE_V2,HYPERPRO,490,-0.05,-0.06,-1.72,9.28,0.001857,0.001502,7.73
RHOW,5,5,5,HYPERPRO,PACE_V2,510,-4.74,-5.18,-8.05,9.73,0.001506,0.00127,11.37
RHOW,5,5,5,PACE_V2,HYPERPRO,510,-0.07,-0.07,8.05,9.73,0.001506,0.00127,13.2
RHOW,5,5,5,HYPERPRO,PACE_V2,560,-2.19,-2.32,-1.58,21.55,8.59e-4,7.18e-4,15.23
RHOW,5,5,5,PACE_V2,HYPERPRO,560,-0.19,-0.17,1.58,21.55,8.59e-4,7.18e-4,17.48
RHOW,5,4,4,HYPERPRO,PACE_V30,412,0.55,0.59,-3.83,7.02,0.007333,0.004673,13.34
RHOW,5,4,4,PACE_V30,HYPERPRO,412,0.24,0.24,3.83,7.02,0.007333,0.004673,19.69
RHOW,5,4,4,HYPERPRO,PACE_V30,443,0.63,0.68,-5.29,6.45,0.005253,0.003325,11.08
RHOW,5,4,4,PACE_V30,HYPERPRO,443,0.27,0.27,5.29,6.45,0.005253,0.003325,15.15
RHOW,5,4,4,HYPERPRO,PACE_V30,490,-0.23,-0.32,-4.13,6.56,0.00271,0.001878,9.56
RHOW,5,4,4,PACE_V30,HYPERPRO,490,-0.02,-0.03,4.13,6.56,0.00271,0.001878,11.89
RHOW,5,4,4,HYPERPRO,PACE_V30,510,-4.89,-6.4,-11.03,11.03,0.002281,0.001719,15.3
RHOW,5,4,4,PACE_V30,HYPERPRO,510,-0.06,-0.05,11.03,11.03,0.002281,0.001719,21.59
RHOW,5,4,4,HYPERPRO,PACE_V30,560,0.74,0.8,-7.92,7.92,0.001123,7.6e-4,16.02
RHOW,5,4,4,PACE_V30,HYPERPRO,560,0.04,0.02,7.92,7.92,0.001123,7.6e-4,26.31
RHOW,5,5,5,HYPERPRO,PACE_V31,412,0.58,0.61,8.29,8.45,0.006115,0.004625,13.01
RHOW,5,5,5,PACE_V31,HYPERPRO,412,0.22,0.25,-8.29,8.45,0.006115,0.004625,15.38
RHOW,5,5,5,HYPERPRO,PACE_V31,443,0.66,0.71,4.77,5.36,0.004298,0.003253,10.72
RHOW,5,5,5,PACE_V31,HYPERPRO,443,0.24,0.25,-4.77,5.36,0.004298,0.003253,12.38
RHOW,5,5,5,HYPERPRO,PACE_V31,490,-0.39,-0.4,6.22,7.63,0.002435,0.002058,10.53
RHOW,5,5,5,PACE_V31,HYPERPRO,490,-0.03,-0.03,-6.22,7.63,0.002435,0.002058,10.83
RHOW,5,5,5,HYPERPRO,PACE_V31,510,-5.72,-6.31,1.02,1.88,0.001614,0.001093,9.78
RHOW,5,5,5,PACE_V31,HYPERPRO,510,-0.06,-0.06,-1.02,1.88,0.001614,0.001093,11.24
RHOW,5,5,5,HYPERPRO,PACE_V31,560,-0.56,-0.57,3.97,6.19,9.39e-4,7.03e-4,15.23
RHOW,5,5,5,PACE_V31,HYPERPRO,560,-0.03,-0.02,-3.97,6.19,9.39e-4,7.03e-4,16.72
