var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
LU,TRIOS,HYPERNETS,400,55,46,46,46,1.1383,0.9854,1.0894,1.1924,1.3051,-2.303751,-0.98538,0.219126,NA,TRUE,FALSE,1.656307,1.396258,12.0586,0.072293,0.10516,0.129452,0.081021,0.107994,0.143062,7.2293,10.5159,12.9452,8.2214,10.7993,14.3037
LU,HYPERNETS,TRIOS,401,55,46,46,46,0.8178,0.9233,0.7827,0.8564,0.9371,-0.232815,0.840758,1.821921,NA,TRUE,FALSE,1.514586,1.246443,9.2176,-0.099393,-0.077003,-0.048111,0.062399,0.082387,0.111845,-11.0363,-8.3429,-5.0543,6.4528,8.9784,12.1854
LU,TRIOS,HYPERNETS,401,55,46,46,46,1.1151,0.9818,1.0672,1.1677,1.2777,-2.327794,-0.981737,0.248454,NA,TRUE,FALSE,1.514586,1.246443,10.3464,0.050545,0.083432,0.110363,0.064528,0.089785,0.121582,5.0543,8.3429,11.0363,6.4528,8.9784,12.1854
LU,HYPERNETS,TRIOS,402,55,46,46,46,0.8481,0.9216,0.8117,0.8884,0.9724,-0.227563,0.896036,1.922597,NA,TRUE,FALSE,1.209384,0.926902,6.9913,-0.063877,-0.041817,-0.010055,0.036784,0.050936,0.081376,-6.8237,-4.3645,-1.0159,3.7349,5.3671,8.8585
LU,TRIOS,HYPERNETS,402,55,46,46,46,1.0746,0.9829,1.0284,1.1256,1.232,-2.368714,-1.00861,0.234031,NA,TRUE,FALSE,1.209384,0.926902,7.4723,0.010161,0.043647,0.068237,0.036355,0.052277,0.088586,1.0159,4.3645,6.8237,3.7349,5.3671,8.8585
LU,HYPERNETS,TRIOS,403,55,46,46,46,0.8658,0.9209,0.8286,0.9069,0.9926,-0.224008,0.922326,1.969695,NA,TRUE,FALSE,1.08802,0.782625,6.0593,-0.043485,-0.021524,0.010534,0.018036,0.037898,0.069019,-4.5462,-2.2003,1.0534,1.8367,3.8691,7.2922
LU,TRIOS,HYPERNETS,403,55,46,46,46,1.0527,0.9836,1.0075,1.1026,1.2068,-2.377092,-1.016998,0.225678,NA,TRUE,FALSE,1.08802,0.782625,6.2532,-0.010423,0.022009,0.045462,0.018367,0.038195,0.070403,-1.0534,2.2003,4.5462,1.8367,3.8691,7.2922
LU,HYPERNETS,TRIOS,404,55,46,46,46,0.8863,0.9209,0.8482,0.9283,1.016,-0.223899,0.94571,2.014359,NA,FALSE,FALSE,1.026384,0.705274,5.6251,-0.021107,0.001988,0.035531,0.009605,0.033737,0.08537,-2.1562,0.1983,3.553,0.9632,3.4354,8.9298
LU,TRIOS,HYPERNETS,404,55,46,46,46,1.0284,0.9837,0.9842,1.0772,1.179,-2.374918,-1.018742,0.22037,NA,FALSE,FALSE,1.026384,0.705274,5.5454,-0.03431,-0.001975,0.021562,0.009567,0.033501,0.082261,-3.553,-0.1983,2.1562,0.9632,3.4354,8.9298
LU,HYPERNETS,TRIOS,405,55,46,46,46,0.9061,0.9197,0.8672,0.9491,1.0387,-0.207338,0.983711,2.072001,NA,FALSE,FALSE,1.064666,0.79614,6.3917,0.00132,0.025277,0.059792,0.017859,0.037758,0.091189,0.1319,2.5272,5.9789,1.7856,3.7758,9.9566
