var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,MRD,MARD,RMSE,MSA,MAPE
LD,TRIOS,HYPERNETS,55,34,34,34,462,0.94,0.81,10.38,15.28,0.10395,0.143271,12.275683,10.671168,14.98
LD,HYPERNETS,TRIOS,55,34,34,34,463,0.9,0.98,-10.55,15.71,-0.095312,0.143232,12.327746,10.70821,13.03
LD,TRIOS,HYPERNETS,55,34,34,34,463,0.95,0.81,10.55,15.71,0.105642,0.147693,12.327746,10.70821,15.12
LD,HYPERNETS,TRIOS,55,34,34,34,464,0.9,0.98,-9.44,15.84,-0.086107,0.136728,11.900703,10.339904,12.8
LD,TRIOS,HYPERNETS,55,34,34,34,464,0.95,0.81,9.44,15.84,0.09456,0.147812,11.900703,10.339904,14.66
LD,HYPERNETS,TRIOS,55,34,34,34,465,0.9,0.97,-8.35,14.47,-0.076944,0.126378,11.416566,9.896648,12.49
LD,TRIOS,HYPERNETS,55,34,34,34,465,0.94,0.82,8.35,14.47,0.083563,0.144565,11.416566,9.896648,14.09
LD,HYPERNETS,TRIOS,55,34,34,34,466,0.91,0.98,-8.05,13.98,-0.074372,0.125498,11.162911,9.644305,12.37
LD,TRIOS,HYPERNETS,55,34,34,34,466,0.94,0.82,8.05,13.98,0.080681,0.139845,11.162911,9.644305,13.88
LD,HYPERNETS,TRIOS,55,34,34,34,467,0.91,0.98,-7.95,14.44,-0.073523,0.128535,11.120142,9.625692,12.44
LD,TRIOS,HYPERNETS,55,34,34,34,467,0.94,0.82,7.95,14.44,0.079599,0.144409,11.120142,9.625692,13.98
LD,HYPERNETS,TRIOS,55,34,34,34,468,0.91,0.98,-8.8,15.03,-0.080737,0.130684,11.271288,9.768993,12.65
LD,TRIOS,HYPERNETS,55,34,34,34,468,0.94,0.81,8.8,15.03,0.088083,0.145653,11.271288,9.768993,14.33
LD,HYPERNETS,TRIOS,55,34,34,34,469,0.91,0.98,-8.86,15.08,-0.081275,0.131024,11.302975,9.807106,12.77
LD,TRIOS,HYPERNETS,55,34,34,34,469,0.94,0.81,8.86,15.08,0.088717,0.146096,11.302975,9.807106,14.48
LD,HYPERNETS,TRIOS,55,34,34,34,470,0.91,0.98,-9.45,15.6,-0.08619,0.134924,11.439088,9.934772,12.93
LD,TRIOS,HYPERNETS,55,34,34,34,470,0.95,0.82,9.45,15.6,0.094581,0.147812,11.439088,9.934772,14.75
LD,HYPERNETS,TRIOS,55,34,34,34,471,0.9,0.98,-10.07,16.02,-0.091363,0.140965,11.672293,10.126586,13.14
LD,TRIOS,HYPERNETS,55,34,34,34,471,0.95,0.82,10.07,16.02,0.10083,0.149556,11.672293,10.126586,15.14
LD,HYPERNETS,TRIOS,55,34,34,34,472,0.9,0.98,-10.35,16.03,-0.093665,0.144126,11.861317,10.305902,13.3
LD,TRIOS,HYPERNETS,55,34,34,34,472,0.96,0.82,10.35,16.03,0.103645,0.150127,11.861317,10.305902,15.4
LD,HYPERNETS,TRIOS,55,34,34,34,473,0.9,0.98,-10.63,16.04,-0.095977,0.146799,11.9751,10.398487,13.41
LD,TRIOS,HYPERNETS,55,34,34,34,473,0.97,0.82,10.63,16.04,0.106488,0.150705,11.9751,10.398487,15.6
LD,HYPERNETS,TRIOS,55,34,34,34,474,0.9,0.98,-10.89,16.23,-0.098045,0.148902,11.996559,10.419635,13.48
LD,TRIOS,HYPERNETS,55,34,34,34,474,0.96,0.81,10.89,16.23,0.109056,0.150955,11.996559,10.419635,15.72
LD,HYPERNETS,TRIOS,55,34,34,34,475,0.9,0.98,-10.47,16.14,-0.094639,0.144312,11.81147,10.256983,13.35
LD,TRIOS,HYPERNETS,55,34,34,34,475,0.96,0.82,10.47,16.14,0.104903,0.151034,11.81147,10.256983,15.48
LD,HYPERNETS,TRIOS,55,34,34,34,476,0.9,0.98,-10.47,16.26,-0.094607,0.144174,11.818407,10.253989,13.38
LD,TRIOS,HYPERNETS,55,34,34,34,476,0.96,0.82,10.47,16.26,0.104829,0.151969,11.818407,10.253989,15.51
LD,HYPERNETS,TRIOS,55,34,34,34,477,0.9,0.98,-10.58,16.35,-0.09557,0.145739,11.897594,10.320994,13.48
LD,TRIOS,HYPERNETS,55,34,34,34,477,0.96,0.82,10.58,16.35,0.10599,0.152933,11.897594,10.320994,15.64
