system,sat,wavelength,sat_version,n,Slope,Slope_log,RMSE,MSA,MAPE,Bias,Error
HYPERNETS,S3B,443,S3B v3.0,5,-0.06,-0.05,0.005537,0.004369,16.79,5.6,5.6
HYPERNETS,S3B,490,S3B v3.0,5,-0.34,-0.29,0.003225,0.002127,12.86,1.46,1.46
HYPERNETS,S3B,510,S3B v3.0,5,NA,NA,NA,NA,NA,NA,NA
HYPERNETS,S3B,560,S3B v3.0,5,-1.68,-1.56,0.001436,0.001311,31.97,-32.91,34.27
HYPERNETS,S3B,620,S3B v3.0,5,-2.43,-3.03,7.13e-4,6.8e-4,81.25,-228.35,228.35
HYPERNETS,S3B,665,S3B v3.0,5,-2.64,12.41,6.45e-4,5.83e-4,105.95,74.31,74.31
HYPERNETS,S3B,674,S3B v3.0,5,-3.05,32.79,6.14e-4,5.83e-4,112.32,102.44,102.44
HYPERNETS,S3B,681,S3B v3.0,5,-2.35,-4.46,5.24e-4,4.74e-4,96.5,-17.67,152.46
HYPERNETS,S3B,400,S3B v4.0,5,-0.84,-0.62,0.011697,0.006732,25.04,1.52,1.52
HYPERNETS,S3B,413,S3B v4.0,5,-0.94,-0.73,0.010506,0.006369,22.95,-3.23,3.89
HYPERNETS,S3B,443,S3B v4.0,5,-1.16,-0.9,0.008505,0.004829,19.82,-0.86,2.48
HYPERNETS,S3B,490,S3B v4.0,5,-1.97,-1.52,0.006294,0.003887,23.56,-5.03,9.4
HYPERNETS,S3B,510,S3B v4.0,5,NA,NA,NA,NA,NA,NA,NA
HYPERNETS,S3B,560,S3B v4.0,5,-5.51,-3.42,0.003972,0.002525,67.62,-28.9,30.22
HYPERNETS,S3B,620,S3B v4.0,5,-8.06,-3.89,0.002645,0.001596,224.7,-129.82,157.53
HYPERNETS,S3B,665,S3B v4.0,5,-8.39,39.13,0.002094,0.001347,310.38,232.87,289.73
HYPERNETS,S3B,674,S3B v4.0,5,-9.49,169.05,0.001997,0.001305,311.38,312.65,312.65
HYPERNETS,S3B,681,S3B v4.0,5,-9.3,-8.88,0.001911,0.001204,313.57,-932.59,2996.74
HYPERNETS,S3B,400,S3B hm,5,-0.07,-0.06,0.00749,0.005379,19.05,4.21,4.21
HYPERNETS,S3B,413,S3B hm,5,-0.09,-0.07,0.006863,0.004906,17.21,3.31,3.31
HYPERNETS,S3B,443,S3B hm,5,-0.07,-0.06,0.005447,0.00421,16.25,4.83,4.83
HYPERNETS,S3B,490,S3B hm,5,-0.36,-0.31,0.003218,0.00204,12.42,0.28,0.8
HYPERNETS,S3B,510,S3B hm,5,NA,NA,NA,NA,NA,NA,NA
HYPERNETS,S3B,560,S3B hm,5,-1.94,-0.71,0.006707,0.006525,159.66,114.99,114.99
HYPERNETS,S3B,620,S3B hm,5,-3.5,-0.65,0.003463,0.003329,432.48,287.99,287.99
HYPERNETS,S3B,665,S3B hm,5,-3.12,-2.72,6.44e-4,5.77e-4,127.39,-168.18,190.57
HYPERNETS,S3B,674,S3B hm,5,-2.68,55.02,5.9e-4,5.38e-4,101.33,73.9,73.9
HYPERNETS,S3B,681,S3B hm,5,-2.2,-4.22,4.53e-4,4.22e-4,87.24,-789.21,789.21
HyperPRO,S3A,400,S3A v3.0,3,2.01,2.04,0.004046,0.003854,11.73,6.38,14.35
HyperPRO,S3A,413,S3A v3.0,3,1.91,1.84,0.004284,0.003807,11.46,7.63,9.05
HyperPRO,S3A,443,S3A v3.0,3,1.83,1.74,0.003247,0.002689,9.07,6.23,6.23
HyperPRO,S3A,490,S3A v3.0,3,2.21,2.1,0.001799,0.001241,6.44,2.17,2.17
HyperPRO,S3A,510,S3A v3.0,3,NA,NA,NA,NA,NA,NA,NA
HyperPRO,S3A,560,S3A v3.0,3,-1.89,-1.94,4.08e-4,3.91e-4,8.47,-6.34,7.8
HyperPRO,S3A,620,S3A v3.0,3,NA,NA,1.38e-4,1.24e-4,13.11,-14.66,14.66
HyperPRO,S3A,665,S3A v3.0,3,-0.19,-0.78,1.72e-4,1.33e-4,21.57,-20.33,20.33
HyperPRO,S3A,674,S3A v3.0,3,0.03,0.01,1.63e-4,1.49e-4,31.64,-11.09,48.74
HyperPRO,S3A,681,S3A v3.0,3,-0.19,-0.19,1.16e-4,1.1e-4,27.17,-12.87,36.93
HyperPRO,S3A,400,S3A v4.0,3,1.81,1.93,0.003111,0.002705,8.77,3.52,5.59
HyperPRO,S3A,413,S3A v4.0,3,1.68,1.77,0.002616,0.002228,7.5,2.13,5.37
HyperPRO,S3A,443,S3A v4.0,3,1.6,1.65,0.001736,0.001491,5.6,1.41,4.7
HyperPRO,S3A,490,S3A v4.0,3,1.91,1.98,9.71e-4,8.77e-4,4.77,-2.82,3.28
HyperPRO,S3A,510,S3A v4.0,3,NA,NA,NA,NA,NA,NA,NA
HyperPRO,S3A,560,S3A v4.0,3,-0.76,-0.83,4.9e-4,4.34e-4,9.31,-11.58,11.58
HyperPRO,S3A,620,S3A v4.0,3,NA,NA,1.39e-4,1.04e-4,10.99,-6.27,6.27
HyperPRO,S3A,665,S3A v4.0,3,0.75,0.91,1.95e-4,1.87e-4,30.51,-44.44,44.44
HyperPRO,S3A,674,S3A v4.0,3,0.13,0.14,1.6e-4,1.5e-4,28.4,-30.42,30.42
HyperPRO,S3A,681,S3A v4.0,3,0.03,0.03,1.04e-4,1.02e-4,22.97,-28.13,28.13
HyperPRO,S3A,400,S3A hm,3,2.01,2.07,0.003902,0.0037,11.43,5.51,12.64
HyperPRO,S3A,413,S3A hm,3,1.89,1.86,0.003853,0.003598,11.04,7.17,11.66
HyperPRO,S3A,443,S3A hm,3,1.8,1.73,0.002904,0.002485,8.48,5.28,5.63
HyperPRO,S3A,490,S3A hm,3,2.46,2.38,0.001714,0.001383,7.25,3.3,4.1
HyperPRO,S3A,510,S3A hm,3,NA,NA,NA,NA,NA,NA,NA
HyperPRO,S3A,560,S3A hm,3,-5.94,-2.56,0.006185,0.006113,133.57,137.46,137.46
HyperPRO,S3A,620,S3A hm,3,NA,NA,0.003353,0.003347,355.12,361.05,361.05
HyperPRO,S3A,665,S3A hm,3,-1.49,-1.28,1.24e-4,1.05e-4,17.46,19.21,19.21
HyperPRO,S3A,674,S3A hm,3,-0.18,-0.24,2.19e-4,1.97e-4,38.5,-22.96,44.02
HyperPRO,S3A,681,S3A hm,3,-0.74,-0.77,1.77e-4,1.71e-4,40.45,-30.43,53.56
HyperPRO,S3B,400,S3B v3.0,2,0.04,0.04,0.004465,0.004129,11.6,11.47,11.47
HyperPRO,S3B,413,S3B v3.0,2,0.07,0.06,0.003859,0.003548,10.27,10.17,10.17
HyperPRO,S3B,443,S3B v3.0,2,0.35,0.32,0.003141,0.003055,10.13,10.09,10.09
HyperPRO,S3B,490,S3B v3.0,2,-0.35,-0.32,0.002015,0.001934,9.97,9.93,9.93
HyperPRO,S3B,510,S3B v3.0,2,NA,NA,NA,NA,NA,NA,NA
HyperPRO,S3B,560,S3B v3.0,2,-7.96,-7.61,8.83e-4,8.46e-4,18.79,4.27,19.64
HyperPRO,S3B,620,S3B v3.0,2,NA,NA,4.17e-4,4.04e-4,42.85,2.47,50.21
HyperPRO,S3B,665,S3B v3.0,2,-4.19,-4.34,3.8e-4,3.78e-4,70.1,-9.04,102.31
HyperPRO,S3B,674,S3B v3.0,2,-4.53,-3.48,3.1e-4,2.76e-4,82.65,25.76,85.39
HyperPRO,S3B,681,S3B v3.0,2,NA,NA,3.55e-4,2.59e-4,82.57,56.7,65.73
HyperPRO,S3B,400,S3B v4.0,2,-3.1,-2.57,0.010646,0.007786,22.41,20.59,20.59
HyperPRO,S3B,413,S3B v4.0,2,-3.33,-2.83,0.009467,0.007036,20.81,17.07,19.34
HyperPRO,S3B,443,S3B v4.0,2,-4.11,-3.51,0.007881,0.005745,19.53,16.8,18.11
HyperPRO,S3B,490,S3B v4.0,2,-10.23,-8.49,0.006321,0.004689,24.49,19.75,22.52
HyperPRO,S3B,510,S3B v4.0,2,NA,NA,NA,NA,NA,NA,NA
HyperPRO,S3B,560,S3B v4.0,2,-37.54,-25.44,0.004573,0.003638,81.58,40.9,73.45
HyperPRO,S3B,620,S3B v4.0,2,NA,NA,0.003249,0.002513,266.65,74.24,235.85
HyperPRO,S3B,665,S3B v4.0,2,-27.55,-13.41,0.002609,0.002082,419.18,27.88,570.48
HyperPRO,S3B,674,S3B v4.0,2,-37.52,-13.05,0.002508,0.001921,599.53,76.64,593.23
HyperPRO,S3B,681,S3B v4.0,2,NA,NA,0.002491,0.001848,588.23,130.33,429.65
HyperPRO,S3B,400,S3B hm,2,-0.18,-0.16,0.004135,0.00357,10.11,9.93,9.93
HyperPRO,S3B,413,S3B hm,2,0.03,0.02,0.003731,0.003378,9.8,9.69,9.69
HyperPRO,S3B,443,S3B hm,2,0.25,0.23,0.002831,0.002704,8.99,8.94,8.94
HyperPRO,S3B,490,S3B hm,2,-0.7,-0.65,0.001676,0.001518,7.86,7.79,7.79
HyperPRO,S3B,510,S3B hm,2,NA,NA,NA,NA,NA,NA,NA
HyperPRO,S3B,560,S3B hm,2,-8.57,-3.44,0.006828,0.006768,149.8,148.73,148.73
HyperPRO,S3B,620,S3B hm,2,NA,NA,0.003704,0.003633,385.46,379.35,379.35
HyperPRO,S3B,665,S3B hm,2,-6.23,-4.44,6.1e-4,5.27e-4,103.93,33.04,105.01
HyperPRO,S3B,674,S3B hm,2,-6.25,-7.51,3.63e-4,3.62e-4,102.65,-42.45,223.37
HyperPRO,S3B,681,S3B hm,2,NA,NA,2.55e-4,2.36e-4,75.07,7.01,92.31
So-Rad,S3A,400,S3A v3.0,5,2.71,2.5,0.007911,0.007164,22.81,23.78,23.78
So-Rad,S3A,413,S3A v3.0,5,0.73,0.67,0.010614,0.008887,31.4,27.24,27.24
So-Rad,S3A,443,S3A v3.0,5,0.51,0.48,0.008119,0.006432,25.36,21.94,21.94
So-Rad,S3A,490,S3A v3.0,5,0.15,0.16,0.004766,0.003714,21.05,17.9,17.9
So-Rad,S3A,510,S3A v3.0,5,NA,NA,NA,NA,NA,NA,NA
So-Rad,S3A,560,S3A v3.0,5,0.4,0.41,0.001757,0.001146,27.91,17.91,17.91
So-Rad,S3A,620,S3A v3.0,5,0.06,0.17,9.21e-4,8.39e-4,135.98,106.17,106.17
So-Rad,S3A,665,S3A v3.0,5,0.13,0.31,6.33e-4,5.73e-4,164.32,156.44,156.44
So-Rad,S3A,674,S3A v3.0,5,0.2,0.28,5.48e-4,5.06e-4,157.35,132.66,132.66
So-Rad,S3A,681,S3A v3.0,5,0.02,0.14,5.67e-4,4.85e-4,121.29,110.9,145.57
So-Rad,S3A,400,S3A v4.0,5,2.45,2.37,0.005793,0.005528,17.83,17.73,17.73
So-Rad,S3A,413,S3A v4.0,5,0.78,0.75,0.007016,0.005997,21.62,13.2,13.2
So-Rad,S3A,443,S3A v4.0,5,0.6,0.57,0.005222,0.004108,16.64,9.31,9.31
So-Rad,S3A,490,S3A v4.0,5,0.29,0.28,0.002702,0.001905,11.17,5.31,5.35
So-Rad,S3A,510,S3A v4.0,5,NA,NA,NA,NA,NA,NA,NA
So-Rad,S3A,560,S3A v4.0,5,0.22,0.26,0.00117,8.52e-4,18.42,6.91,11.11
So-Rad,S3A,620,S3A v4.0,5,-0.14,-0.13,8.2e-4,7.08e-4,99.71,88.49,121.37
So-Rad,S3A,665,S3A v4.0,5,-0.12,-0.08,6.03e-4,4.55e-4,100.34,79.77,92.8
So-Rad,S3A,674,S3A v4.0,5,-0.02,-0.02,5.78e-4,3.97e-4,92.55,48.3,98.17
So-Rad,S3A,681,S3A v4.0,5,-0.18,-0.47,6.75e-4,4.12e-4,73.31,36.03,58.44
So-Rad,S3A,400,S3A hm,5,2.71,2.54,0.007316,0.006811,21.77,23.15,23.15
So-Rad,S3A,413,S3A hm,5,1.08,0.95,0.008498,0.007564,26.34,24.1,24.1
So-Rad,S3A,443,S3A hm,5,0.86,0.75,0.006434,0.005449,21.11,19.88,19.88
So-Rad,S3A,490,S3A hm,5,0.63,0.54,0.003653,0.003022,16.89,16.04,16.04
So-Rad,S3A,510,S3A hm,5,NA,NA,NA,NA,NA,NA,NA
So-Rad,S3A,560,S3A hm,5,1,0.42,0.007973,0.007838,176.92,181,181
So-Rad,S3A,620,S3A hm,5,1.09,0.24,0.004715,0.004628,786.91,822.43,822.43
So-Rad,S3A,665,S3A hm,5,0.4,0.34,8.84e-4,7.13e-4,267.17,245.13,245.13
So-Rad,S3A,674,S3A hm,5,0.25,0.4,5.58e-4,5.02e-4,145.27,127.36,127.36
So-Rad,S3A,681,S3A hm,5,0.3,0.44,4.85e-4,4.16e-4,112.75,86.8,86.8
So-Rad,S3B,400,S3B v3.0,10,0.03,0.03,0.005891,0.005316,16.17,14.45,14.45
So-Rad,S3B,413,S3B v3.0,10,-0.13,-0.12,0.005228,0.00466,14.35,11.85,11.85
So-Rad,S3B,443,S3B v3.0,10,0.08,0.06,0.004396,0.004133,14.58,10.91,10.91
So-Rad,S3B,490,S3B v3.0,10,0.05,0.05,0.002484,0.002156,11.93,9.71,9.71
So-Rad,S3B,510,S3B v3.0,10,NA,NA,NA,NA,NA,NA,NA
So-Rad,S3B,560,S3B v3.0,10,-0.56,-0.54,0.001121,9.6e-4,23.02,-13.12,21.55
So-Rad,S3B,620,S3B v3.0,10,-0.34,-0.71,8.96e-4,6.92e-4,94.51,-35.77,89.36
So-Rad,S3B,665,S3B v3.0,10,-0.3,0.08,7.38e-4,5.68e-4,162.83,70.49,94.65
So-Rad,S3B,674,S3B v3.0,10,-0.06,-0.25,5.97e-4,4.57e-4,159.09,57.43,95.76
So-Rad,S3B,681,S3B v3.0,10,-0.17,-0.01,6.18e-4,4.77e-4,140.77,47.71,235.81
So-Rad,S3B,400,S3B v4.0,10,-1.55,-1.19,0.01038,0.007594,23.48,13.34,13.34
So-Rad,S3B,413,S3B v4.0,10,-1.64,-1.33,0.008999,0.005928,18.61,9.52,9.52
So-Rad,S3B,443,S3B v4.0,10,-1.09,-0.86,0.007336,0.005026,18,9.43,9.43
So-Rad,S3B,490,S3B v4.0,10,-0.58,-0.42,0.005573,0.003529,19.47,5.48,7.07
So-Rad,S3B,510,S3B v4.0,10,NA,NA,NA,NA,NA,NA,NA
So-Rad,S3B,560,S3B v4.0,10,-1.9,-1.09,0.00392,0.002519,62.27,-9.56,23.19
So-Rad,S3B,620,S3B v4.0,10,-0.87,-0.21,0.002867,0.001845,319.23,1.56,185.78
So-Rad,S3B,665,S3B v4.0,10,-0.82,-1.69,0.002241,0.001519,554.38,134.78,696.93
So-Rad,S3B,674,S3B v4.0,10,-0.57,-0.61,0.00209,0.001384,583.06,-3.68,573.47
So-Rad,S3B,681,S3B v4.0,10,-0.7,1.08,0.002045,0.001366,515.54,-52.47,690.62
So-Rad,S3B,400,S3B hm,10,-0.14,-0.12,0.006006,0.005467,16.68,16.05,16.05
So-Rad,S3B,413,S3B hm,10,-0.09,-0.08,0.005284,0.004855,14.92,14.34,14.34
So-Rad,S3B,443,S3B hm,10,0.02,0.02,0.004318,0.004027,14.23,11.16,11.16
So-Rad,S3B,490,S3B hm,10,0,0.01,0.002412,0.002077,11.52,8,8
So-Rad,S3B,510,S3B hm,10,NA,NA,NA,NA,NA,NA,NA
So-Rad,S3B,560,S3B hm,10,-0.45,-0.17,0.006803,0.006706,162.44,159.24,159.24
So-Rad,S3B,620,S3B hm,10,-0.24,-0.02,0.003649,0.003505,668.77,689.69,689.69
So-Rad,S3B,665,S3B hm,10,-0.22,0.01,7.41e-4,5.68e-4,179.68,52.43,135.37
So-Rad,S3B,674,S3B hm,10,-0.09,-0.75,6.1e-4,4.47e-4,148.76,-10.8,114.62
So-Rad,S3B,681,S3B hm,10,-0.1,0.18,5.39e-4,3.64e-4,99.15,-65.23,156.11
