var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,S3B,TRIOS,10,10,10,10,442,-0.13,-0.16,-9.98,9.98,0.007396,0.005152,13.53
RHOW,TRIOS,S3B,10,10,10,10,490,-0.6,-0.44,6.75,6.98,0.005602,0.003597,19.84
RHOW,S3B,TRIOS,10,10,10,10,490,-0.04,-0.05,-6.75,6.98,0.005602,0.003597,13.67
RHOW,TRIOS,S3B,10,10,10,10,510,-2.18,-1.65,-0.18,8.19,0.004899,0.003036,29.83
RHOW,S3B,TRIOS,10,10,10,10,510,-0.03,-0.03,0.18,8.19,0.004899,0.003036,17.78
RHOW,TRIOS,S3B,10,10,10,10,560,-1.76,-1,-2.19,11.59,0.003951,0.002365,58.58
RHOW,S3B,TRIOS,10,10,10,10,560,-0.03,-0.04,2.19,11.59,0.003951,0.002365,24.77
RHOW,TRIOS,S3B,10,10,10,10,620,-0.72,0.01,14.72,100.72,0.002885,0.001821,314.76
RHOW,S3B,TRIOS,10,10,10,10,620,-0.03,0,-14.72,100.72,0.002885,0.001821,79.13
RHOW,TRIOS,S3B,10,10,10,9,665,-0.97,0.27,-134.41,514.12,0.002349,0.001591,571.72
RHOW,S3B,TRIOS,10,10,10,9,665,-0.05,0.06,134.41,514.12,0.002349,0.001591,208.46
RHOW,TRIOS,S3B,10,10,10,10,673,-0.6,0.25,1.21,272.04,0.002108,0.001338,536.34
RHOW,S3B,TRIOS,10,10,10,10,673,-0.03,0.08,-1.21,272.04,0.002108,0.001338,135.58
RHOW,TRIOS,S3B,10,10,10,10,681,-0.61,0.48,-68.67,519.88,0.002026,0.001312,488.67
RHOW,S3B,TRIOS,10,10,10,10,681,-0.03,0.1,68.67,519.88,0.002026,0.001312,237.59
RHOW,HYPERPRO,S3A,3,3,3,3,400,1.82,1.98,2.5,4.41,0.003253,0.002608,8.63
RHOW,S3A,HYPERPRO,3,3,3,3,400,0.55,0.51,-2.5,4.41,0.003253,0.002608,10.03
RHOW,HYPERPRO,S3A,3,3,3,3,412,1.68,1.82,1.55,3.04,0.002786,0.002096,7.31
RHOW,S3A,HYPERPRO,3,3,3,3,412,0.59,0.55,-1.55,3.04,0.002786,0.002096,8.48
RHOW,HYPERPRO,S3A,3,3,3,3,442,1.58,1.66,0.34,3.27,0.001778,0.00134,5.18
RHOW,S3A,HYPERPRO,3,3,3,3,442,0.63,0.6,-0.34,3.27,0.001778,0.00134,5.69
RHOW,HYPERPRO,S3A,3,3,3,3,490,2.17,2.28,-1.86,2.5,0.00115,9.12e-4,5.03
RHOW,S3A,HYPERPRO,3,3,3,3,490,0.45,0.43,1.86,2.5,0.00115,9.12e-4,5.45
RHOW,HYPERPRO,S3A,3,3,3,3,510,1.18,1.34,-8.59,8.59,0.001356,0.001193,10.73
RHOW,S3A,HYPERPRO,3,3,3,3,510,0.05,0.04,8.59,8.59,0.001356,0.001193,12.52
RHOW,HYPERPRO,S3A,3,3,3,3,560,-0.49,-0.56,-12.5,12.5,5.95e-4,5.6e-4,12.06
RHOW,S3A,HYPERPRO,3,3,3,3,560,-1.14,-0.99,12.5,12.5,5.95e-4,5.6e-4,13.96
RHOW,HYPERPRO,S3A,3,3,3,3,620,NA,NA,-31.56,31.56,2.25e-4,2.25e-4,23.9
RHOW,S3A,HYPERPRO,3,3,3,3,620,0,-0,31.56,31.56,2.25e-4,2.25e-4,31.42
RHOW,HYPERPRO,S3A,3,3,3,3,665,0.21,0.15,-61.96,61.96,2.52e-4,2.47e-4,40.14
RHOW,S3A,HYPERPRO,3,3,3,3,665,0.03,0.01,61.96,61.96,2.52e-4,2.47e-4,70.3
RHOW,HYPERPRO,S3A,3,3,3,3,673,-0.23,-0.3,-83.57,83.57,2.54e-4,2.29e-4,40.27
RHOW,S3A,HYPERPRO,3,3,3,3,673,-3.57,-2.68,83.57,83.57,2.54e-4,2.29e-4,69.84
RHOW,HYPERPRO,S3A,3,3,3,3,681,-0.16,-0.21,-47.83,47.83,1.7e-4,1.43e-4,29.04
RHOW,S3A,HYPERPRO,3,3,3,3,681,-1.12,-0.86,47.83,47.83,1.7e-4,1.43e-4,48.32
RHOW,HYPERPRO,S3B,2,2,2,2,400,-3.31,-2.73,20.64,20.64,0.010943,0.007852,22.64
RHOW,S3B,HYPERPRO,2,2,2,2,400,-0.3,-0.37,-20.64,20.64,0.010943,0.007852,15.74
RHOW,HYPERPRO,S3B,2,2,2,2,412,-3.38,-2.85,18.16,19.42,0.00979,0.007115,21.09
RHOW,S3B,HYPERPRO,2,2,2,2,412,-0.3,-0.35,-18.16,19.42,0.00979,0.007115,15.1
RHOW,HYPERPRO,S3B,2,2,2,2,442,-4.26,-3.62,17.26,18.59,0.008109,0.005908,20.08
RHOW,S3B,HYPERPRO,2,2,2,2,442,-0.23,-0.28,-17.26,18.59,0.008109,0.005908,14.61
RHOW,HYPERPRO,S3B,2,2,2,2,490,-10.76,-8.94,19.69,23.7,0.006508,0.004914,25.64
RHOW,S3B,HYPERPRO,2,2,2,2,490,-0.09,-0.11,-19.69,23.7,0.006508,0.004914,17.9
RHOW,HYPERPRO,S3B,2,2,2,2,510,-27.66,-22.16,22.65,40.71,0.005743,0.004722,42.71
